wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/casir-dos-santos-avatar-malbec/w/5908152?year=2022&price_id=31849129,Avatar Malbec,2022,Casir dos Santos,3.6,50,13.64,64.32269%,29.012809999999995%,20.3457575%,41.7630425%,"{'black fruit': 22, 'oaky': 21, 'earthy': 20, 'spices': 7, 'red fruit': 4, 'ageing': 3, 'yeasty': 1, 'dried fruit': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/N3WuJ6cvRd6pm0DmuSfRuQ_pb_x600.png
https://www.vivino.com/tilia-cabernet-sauvignon/w/87703?year=2021&price_id=33242108,Cabernet Sauvignon,2021,Tilia,3.6,43,14.69,62.4190375%,54.981325%,8.333504999999997%,45.922432500000006%,"{'oaky': 71, 'black fruit': 67, 'red fruit': 38, 'earthy': 26, 'spices': 7, 'yeasty': 6, 'dried fruit': 4, 'tree fruit': 3, 'tropical': 2, 'ageing': 1, 'citrus': 1, 'floral': 1, 'vegetal': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,13.5%,https://images.vivino.com/thumbs/Qwc691GRTz-uGE6oFRuxzw_pb_x600.png
https://www.vivino.com/santa-julia-malbec/w/19472?year=2024&price_id=38627482,Malbec,2024,Santa Julia,3.6,41,13.95,57.315515000000005%,27.807837500000005%,19.471714999999996%,36.155829999999995%,"{'black fruit': 586, 'oaky': 372, 'red fruit': 348, 'earthy': 106, 'spices': 77, 'dried fruit': 51, 'yeasty': 44, 'floral': 23, 'tree fruit': 22, 'citrus': 13, 'vegetal': 9, 'ageing': 7, 'tropical': 3}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/v7v7rSErQte9DTTu8n6hwg_pb_x600.png
https://www.vivino.com/tilia-chardonnay/w/87732?year=2023&price_id=38315280,Chardonnay,2023,Tilia,3.6,37,15.95,53.41282999999999%,,17.322652499999997%,39.326285%,"{'oaky': 127, 'tree fruit': 98, 'citrus': 60, 'tropical': 28, 'yeasty': 25, 'earthy': 20, 'vegetal': 10, 'ageing': 8, 'spices': 3, 'black fruit': 3, 'red fruit': 3, 'floral': 2, 'dried fruit': 1}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,,https://images.vivino.com/thumbs/FhiOryRxSGCTumOfyfqs6Q_pb_x600.png
https://www.vivino.com/alamos-seleccion-malbec/w/1890?year=2022&price_id=37212898,Selección Malbec,2022,Alamos,3.7,34,19.94,63.28554%,25.47428%,17.551349999999996%,35.305965%,"{'black fruit': 551, 'oaky': 442, 'earthy': 236, 'red fruit': 149, 'spices': 96, 'floral': 49, 'yeasty': 28, 'dried fruit': 21, 'citrus': 10, 'ageing': 8, 'tree fruit': 5, 'vegetal': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,13.5%,https://images.vivino.com/thumbs/ZsIicuYXQ-S56vv-tBhZZg_pb_x600.png
https://www.vivino.com/ar-antucura-yepun-single-vineyard-malbec-vista-flores/w/5926640?year=2015&price_id=19271690,Yepun Single Vineyard Malbec,2015,Antucura,3.6,32,29.99,52.615962499999995%,43.18981%,35.79068%,43.057207500000004%,"{'oaky': 2, 'black fruit': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Vista Flores']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/_-wuIkywQqGn1qdsYDiKlA_pb_x600.png
https://www.vivino.com/alta-vista-estate-cabernet-sauvignon/w/6451268?year=2020&price_id=34068436,Estate Cabernet Sauvignon,2020,Alta Vista,3.6,based,14.97,58.125%,58.125%,11.25%,42.5%,{},"['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,,https://images.vivino.com/thumbs/fypl__i3TiWrHsf-U9Actw_pb_x600.png
https://www.vivino.com/cuarenta-cuarenta-40-40-otro-andar-malbec-bonarda/w/9157047?year=2020&price_id=33170248,Otro Andar Malbec - Bonarda,2020,Cuarenta Cuarenta 40-40,3.6,based,26.24,62.727275000000006%,48.636362500000004%,15.909089999999999%,63.522724999999994%,"{'red fruit': 3, 'floral': 1, 'vegetal': 1, 'oaky': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Malbec', 'Bonarda']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,,https://images.vivino.com/thumbs/NTchLRPbT3mL0ass_PgOtw_150x200.jpg
https://www.vivino.com/don-rodolfo-pinot-noir/w/2072781?year=2022&price_id=32216417,Pinot Noir,2022,Don Rodolfo,3.6,32,13.15,35.7856%,5.659807499999998%,2.219145000000001%,49.579905%,"{'red fruit': 30, 'black fruit': 9, 'oaky': 9, 'earthy': 3, 'spices': 2, 'citrus': 2, 'yeasty': 1}","['beef', 'veal', 'poultry', 'game (deer, venison)']",['100%Pinot Noir'],"['Argentina', 'Mendoza']",Argentinian Pinot Noir,,https://images.vivino.com/thumbs/m3-B9reXT_S_e1AsA-hmoQ_pb_x600.png
https://www.vivino.com/santa-julia-tempranillo/w/1721506?year=2023&price_id=37941902,Tempranillo,2023,Santa Julia,3.6,32,20,60.49265%,46.539919999999995%,12.095590000000001%,41.199582500000005%,"{'black fruit': 37, 'oaky': 17, 'red fruit': 14, 'earthy': 5, 'spices': 3, 'vegetal': 2, 'dried fruit': 1}","['beef', 'vegetarian', 'poultry', 'game (deer, venison)', 'appetizers and snacks', 'cured meat']",['Tempranillo'],"['Argentina', 'Mendoza']",Argentinian Tempranillo Red,,https://images.vivino.com/thumbs/XKzwrb8-RW2AuVPkJWfYIg_pb_x600.png
