wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/nieto-senetiner-malbec/w/82417?year=2022&price_id=37020122,Malbec,2022,Nieto Senetiner,3.9,843,16.79,57.518175%,36.034850000000006%,21.77984%,38.78525%,"{'oaky': 409, 'black fruit': 317, 'red fruit': 187, 'earthy': 97, 'spices': 64, 'yeasty': 21, 'dried fruit': 21, 'floral': 8, 'tree fruit': 7, 'vegetal': 6, 'ageing': 3, 'citrus': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,14.5%,https://images.vivino.com/thumbs/VXL2roCSTNKsH01kJMEObg_pb_x600.png
https://www.vivino.com/padrillos-malbec/w/1128322?year=2021&price_id=37093945,Malbec,2021,Padrillos,3.9,818,16.45,55.941424999999995%,28.86372%,22.964285000000004%,37.3139775%,"{'black fruit': 265, 'oaky': 233, 'red fruit': 169, 'earthy': 144, 'spices': 60, 'yeasty': 16, 'floral': 16, 'citrus': 14, 'ageing': 9, 'vegetal': 6, 'dried fruit': 5, 'tree fruit': 3, 'tropical': 2}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,13%,https://images.vivino.com/thumbs/Lu_JIPRzRdKCUWYLP7scew_pb_x600.png
https://www.vivino.com/zuccardi-serie-a-torrontes/w/1206786?year=2022&price_id=31572650,Serie A Torrontés,2022,Zuccardi,3.9,809,18.89,53.102987500000005%,,3.1056800000000013%,58.254265000000004%,"{'citrus': 745, 'tree fruit': 627, 'tropical': 347, 'earthy': 292, 'floral': 223, 'vegetal': 83, 'oaky': 71, 'spices': 63, 'yeasty': 54, 'ageing': 12, 'red fruit': 7, 'black fruit': 3, 'dried fruit': 2}","['vegetarian', 'spicy food', 'aperitif']",['100%Torrontés'],"['Argentina', 'Salta']",Argentinian Torrontés,,https://images.vivino.com/thumbs/uv-c09w8Rra2yiH-DY82Zw_pb_x600.png
https://www.vivino.com/proviva-winery-inkarri-malbec/w/6202225?year=2022&price_id=37327222,Inkarri Malbec,2022,Proviva Winery,3.9,based,21.99,65.39967%,27.5744975%,16.5365775%,39.234905000000005%,"{'black fruit': 63, 'oaky': 25, 'spices': 16, 'earthy': 16, 'red fruit': 13, 'yeasty': 4, 'ageing': 2, 'floral': 2, 'vegetal': 2, 'dried fruit': 1, 'tree fruit': 1, 'citrus': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/vJKO16c6RxyoL7Bb_K7Png_pb_x600.png
https://www.vivino.com/escarcha-entrelineas-malbec-tupungato/w/2030992?year=2018&price_id=36353150,Entrelineas Malbec,2018,Escarcha,3.9,based,31.49,63.216530000000006%,34.102665%,24.77465000000001%,36.991029999999995%,"{'oaky': 13, 'black fruit': 11, 'earthy': 6, 'red fruit': 4, 'floral': 2, 'dried fruit': 1, 'tree fruit': 1, 'yeasty': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,,https://images.vivino.com/thumbs/3cNSWFflT_qZ0XROCahSTA_pb_x600.png
https://www.vivino.com/benmarco-malbec/w/86730?year=2020&price_id=35314745,Malbec,2020,BenMarco,3.9,736,29.39,64.467805%,29.477242499999996%,20.234512499999997%,35.228049999999996%,"{'black fruit': 806, 'oaky': 757, 'red fruit': 319, 'earthy': 288, 'spices': 166, 'floral': 48, 'dried fruit': 43, 'yeasty': 35, 'ageing': 20, 'vegetal': 17, 'citrus': 14, 'tree fruit': 12, 'tropical': 3}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,14.6%,https://images.vivino.com/thumbs/6DTwx9f6SMe09bq7dB-CZQ_pb_x600.png
https://www.vivino.com/wapisa-wapisa-malbec/w/6089435?year=2020&price_id=37671221,Wapisa Malbec,2020,Wapisa,3.9,724,19.97,59.849320000000006%,31.434254999999993%,19.501632499999996%,37.4189425%,"{'black fruit': 211, 'oaky': 148, 'earthy': 77, 'red fruit': 42, 'spices': 34, 'ageing': 6, 'yeasty': 5, 'dried fruit': 5, 'floral': 4, 'vegetal': 4, 'tree fruit': 2, 'citrus': 2}","['beef', 'lamb', 'poultry']",['100%Malbec'],"['Argentina', 'Patagonia']",Argentinian Malbec,13.9%,https://images.vivino.com/thumbs/rtEsB3BDQri62aO56oDTAg_pb_x600.png
https://www.vivino.com/la-posta-fazzio-malbec-domingo-fazzio/w/3418196?year=2020&price_id=30668418,Fazzio Malbec (Domingo Fazzio),2020,La Posta,3.9,696,20.99,60.16792000000001%,28.525870000000005%,19.283990000000003%,36.1318925%,"{'black fruit': 312, 'oaky': 255, 'earthy': 158, 'red fruit': 148, 'spices': 65, 'yeasty': 14, 'ageing': 10, 'floral': 10, 'dried fruit': 5, 'vegetal': 4, 'tree fruit': 3}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Tupungato Malbec Red,13.5%,https://images.vivino.com/thumbs/eZBQ285hTm2tZeBD00-9og_pb_x600.png
https://www.vivino.com/benmarco-malbec/w/86730?year=2021&price_id=37596232,Malbec,2021,BenMarco,3.9,694,21.99,64.467805%,29.477242499999996%,20.234512499999997%,35.228049999999996%,"{'black fruit': 806, 'oaky': 757, 'red fruit': 319, 'earthy': 288, 'spices': 166, 'floral': 48, 'dried fruit': 43, 'yeasty': 35, 'ageing': 20, 'vegetal': 17, 'citrus': 14, 'tree fruit': 12, 'tropical': 3}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,14.5%,https://images.vivino.com/thumbs/6DTwx9f6SMe09bq7dB-CZQ_pb_x600.png
https://www.vivino.com/la-linda-torrontes/w/51904?year=2022&price_id=33939575,Torrontés,2022,La Linda,3.9,667,17.95,50.9688075%,,8.035785000000002%,57.753114999999994%,"{'tree fruit': 194, 'citrus': 141, 'floral': 106, 'tropical': 74, 'earthy': 61, 'vegetal': 29, 'oaky': 21, 'spices': 17, 'yeasty': 16, 'red fruit': 7, 'ageing': 4, 'black fruit': 4}","['vegetarian', 'spicy food', 'aperitif']",['100%Torrontés'],"['Argentina', 'Mendoza']",Argentinian Torrontés,13.5%,https://images.vivino.com/thumbs/bDpoONjwRL2oRE7XUhPBBg_pb_x600.png
