wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/cl-geisse-rose-brut/w/1220057?price_id=33243294,,,,,,,,,,,,,,,,,
https://www.vivino.com/zuccardi-malamado-malbec-port/w/19488?price_id=35459693,,,Zuccardi,3.8,5419,25.95,,,,,"{'oaky': 146, 'black fruit': 110, 'dried fruit': 95, 'red fruit': 38, 'ageing': 35, 'spices': 30, 'earthy': 23, 'yeasty': 18, 'citrus': 7, 'floral': 2, 'vegetal': 1, 'tree fruit': 1, 'tropical': 1}",,['Malbec'],"['Argentina', 'Mendoza']",,13%,https://images.vivino.com/thumbs/jF7MMUTqSfGFM4Jv-SZVkA_pb_x600.png
https://www.vivino.com/zorzal-gran-terroir-pinot-noir/w/1451764?year=2019&price_id=27155296,,,,,,,,,,,,,,,,,
https://www.vivino.com/bodegas-bianchi-iv-generacion-single-block-gran-malbec/w/8859264?year=2019&price_id=35432108,IV Generación Single Block Gran Malbec,2019,Bodegas Bianchi,4.3,200,40.41,54.00727499999999%,44.27468%,32.484155%,44.705712500000004%,"{'black fruit': 7, 'oaky': 3, 'spices': 3, 'red fruit': 1, 'floral': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/xdK1vGZ1QkyrbBb8ckGcwQ_pb_x600.png
https://www.vivino.com/alta-vista-single-vineyard-alizarine-malbec/w/1258383?year=2015&price_id=36624215,Single Vineyard Alizarine Malbec,2015,Alta Vista,4.3,196,48,68.30827500000001%,37.753625%,19.473444999999995%,38.88496%,"{'oaky': 80, 'black fruit': 72, 'earthy': 34, 'spices': 13, 'red fruit': 10, 'ageing': 4, 'floral': 4, 'vegetal': 4, 'yeasty': 3, 'citrus': 3, 'dried fruit': 2}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/lgLw1RPzRae3b2b94FCo2Q_pb_x600.png
https://www.vivino.com/vina-cobos-cocodrilo-red-blend-mendoza/w/2178564?year=2021&price_id=35095071,Cocodrilo Red Blend,2021,Viña Cobos,4.3,161,29.95,71.95083500000001%,46.37825000000001%,16.763135000000002%,41.57462%,"{'oaky': 607, 'black fruit': 397, 'earthy': 199, 'red fruit': 113, 'spices': 108, 'floral': 21, 'yeasty': 13, 'ageing': 10, 'dried fruit': 10, 'vegetal': 8, 'citrus': 5, 'tropical': 2, 'tree fruit': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot', 'Petit Verdot']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,14.7%,https://images.vivino.com/thumbs/MisVOMgOTMi3KfhYSZTwyQ_pb_x600.png
https://www.vivino.com/alpasion-grand-petit-verdot-valle-de-uco/w/5891579?year=2018&price_id=33208648,Grand Petit Verdot,2018,Alpasión,4.3,160,24.99,85%,74.43485%,20.048522499999994%,81.9607175%,"{'black fruit': 49, 'oaky': 40, 'spices': 18, 'earthy': 12, 'floral': 8, 'red fruit': 7, 'dried fruit': 4, 'ageing': 3, 'yeasty': 3, 'vegetal': 1}","['beef', 'lamb', 'game (deer, venison)', 'mature and hard cheese']",['Petit Verdot'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Petit Verdot Red,,https://images.vivino.com/thumbs/5I8sTzE3TXWEJeVqyhwp7g_pb_x600.png
https://www.vivino.com/falasco-wines-hermandad-red-blend/w/5404799?year=2018&price_id=24954215,Hermandad Red Blend,2018,Falasco Wines,4.2,2295,24.99,76.710475%,55.0932%,18.435470000000006%,53.09252000000001%,"{'oaky': 162, 'black fruit': 126, 'earthy': 31, 'red fruit': 27, 'spices': 23, 'dried fruit': 20, 'yeasty': 5, 'ageing': 4, 'tree fruit': 2, 'vegetal': 1, 'floral': 1, 'citrus': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot', 'Petit Verdot']","['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Bordeaux Blend,13.5%,https://images.vivino.com/thumbs/uRHzeW4mQVO-9mF2puC8ng_pb_x600.png
https://www.vivino.com/el-enemigo-chardonnay/w/1272950?year=2021&price_id=36869189,Chardonnay,2021,El Enemigo,4.2,2324,23.08,58.07885%,,19.245157500000005%,39.579325000000004%,"{'oaky': 2690, 'tree fruit': 1603, 'citrus': 1034, 'earthy': 750, 'yeasty': 609, 'tropical': 482, 'ageing': 271, 'vegetal': 212, 'floral': 88, 'spices': 85, 'black fruit': 18, 'red fruit': 7, 'dried fruit': 7}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,13.5%,https://images.vivino.com/thumbs/yiVgwCBHQbm5XlZ0W8INOA_pb_x600.png
https://www.vivino.com/luca-chardonnay-g-lot/w/74336?year=2020&price_id=31923436,Chardonnay (G Lot),2020,Luca,4.2,1900,41.99,57.174234999999996%,,19.686619999999994%,39.8712375%,"{'oaky': 379, 'citrus': 159, 'tree fruit': 143, 'earthy': 99, 'yeasty': 98, 'tropical': 70, 'ageing': 48, 'vegetal': 43, 'spices': 10, 'floral': 10, 'black fruit': 3, 'red fruit': 3, 'dried fruit': 1}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato']",Argentinian Chardonnay,13.5%,https://images.vivino.com/thumbs/z831V74WSu-ZP0fwHkuvtg_pb_x600.png
https://www.vivino.com/tikal-amorio-malbec/w/81980?year=2015&price_id=35395987,Amorío Malbec,2015,Tikal,4.2,1896,29.99,64.775055%,33.6658275%,19.877300000000005%,34.754325%,"{'oaky': 270, 'black fruit': 227, 'earthy': 144, 'red fruit': 81, 'spices': 58, 'floral': 14, 'dried fruit': 8, 'ageing': 6, 'yeasty': 6, 'citrus': 5, 'tree fruit': 3, 'vegetal': 3}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,,https://images.vivino.com/thumbs/nJtbU6z8Qe2yBgL9RLGAzQ_pb_x600.png
