wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,alcohol,image
https://www.vivino.com/bodega-y-cavas-de-weinert-malbec/w/2472?year=2010&price_id=21242067,Malbec,2010,Weinert,4.1,1239,38.45,64.92962%,34.70083999999999%,19.859367499999998%,38.231725%,"{'oaky': 449, 'earthy': 363, 'black fruit': 340, 'red fruit': 99, 'spices': 79, 'dried fruit': 56, 'ageing': 12, 'yeasty': 10, 'floral': 9, 'vegetal': 7, 'citrus': 4, 'tropical': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,14.5%,https://images.vivino.com/thumbs/QzmcfBCJReuZq6APAWN8_w_pb_x600.png
https://www.vivino.com/benmarco-expresivo/w/86732?year=2013&price_id=11274680,Expresivo,2013,BenMarco,4.1,1233,52.92,67.06372999999999%,26.851892500000005%,18.678250000000002%,37.0047325%,"{'oaky': 559, 'black fruit': 525, 'earthy': 264, 'red fruit': 159, 'spices': 128, 'floral': 27, 'dried fruit': 16, 'yeasty': 15, 'ageing': 9, 'vegetal': 8, 'citrus': 7, 'tree fruit': 4}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato', 'Gualtallary']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/X8LHLyjGRl-fh4DxqnEIkw_pb_x600.png
https://www.vivino.com/rutini-cabernet-malbec/w/16508?year=2022&price_id=38503514,Cabernet - Malbec,2022,Rutini,4.1,1211,33.33,70.95815%,45.797574999999995%,14.8945%,42.498695000000005%,"{'oaky': 902, 'black fruit': 469, 'red fruit': 343, 'earthy': 153, 'spices': 136, 'floral': 46, 'yeasty': 26, 'dried fruit': 25, 'ageing': 19, 'vegetal': 19, 'citrus': 8, 'tree fruit': 4, 'tropical': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon - Malbec,14%,https://images.vivino.com/thumbs/AL7A6dlCTTSyYa-wR_Jxmw_pb_x600.png
https://www.vivino.com/tintonegro-nineteen-fiftyfive-vineyard-malbec/w/1621498?year=2020&price_id=37979104,1955 Vineyard Malbec,2020,Tinto Negro (TintoNegro),4.1,based,93,65.9364875%,39.660875000000004%,22.661559999999998%,39.8562%,"{'oaky': 27, 'black fruit': 18, 'ageing': 3, 'earthy': 3, 'red fruit': 3, 'floral': 2, 'spices': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'La Consulta']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/2-0QJiKISruwxg_GykmUAw_pb_x600.png
https://www.vivino.com/mascota-vineyards-unanime-gran-vino-tinto/w/2273763?year=2019&price_id=38148126,Unánime Gran Vino Tinto,2019,Mascota Vineyards,4.1,1096,21.99,85%,55.6028175%,6.188382500000001%,64.4373475%,"{'oaky': 3407, 'black fruit': 2256, 'earthy': 1252, 'red fruit': 982, 'spices': 778, 'yeasty': 84, 'dried fruit': 75, 'ageing': 57, 'vegetal': 57, 'floral': 43, 'tree fruit': 28, 'citrus': 22, 'tropical': 3}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,14.5%,https://images.vivino.com/thumbs/qj65DvSbSteYib4yYFu-_A_pb_x600.png
https://www.vivino.com/bodega-norton-privada-family-blend/w/3208?year=2019&price_id=31173559,Privada Family Blend,2019,Bodega Norton,4.1,1058,24.99,85%,55.6604375%,9.3252925%,63.572575%,"{'oaky': 1126, 'black fruit': 984, 'earthy': 539, 'red fruit': 343, 'spices': 220, 'yeasty': 68, 'floral': 45, 'dried fruit': 41, 'ageing': 33, 'tree fruit': 20, 'vegetal': 15, 'tropical': 6, 'citrus': 5}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot']","['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Bordeaux Blend,14.7%,https://images.vivino.com/thumbs/eyj_aKFcSlWuVok812bb6w_pb_x600.png
https://www.vivino.com/kaiken-francis-mallmann-disobedience-red-blend/w/9690747?year=2019&price_id=37238158,Francis Mallmann Disobedience Red Blend,2019,Kaiken,4.1,1049,33.99,,,,,"{'black fruit': 57, 'oaky': 29, 'earthy': 19, 'red fruit': 5, 'spices': 3, 'vegetal': 3, 'yeasty': 2, 'floral': 2, 'dried fruit': 1}",,,"['Argentina', 'Mendoza']",,,https://images.vivino.com/thumbs/cjhG5Hw7SF21WrQ8U4dNkg_pb_x600.png
https://www.vivino.com/la-espera-la-espera-kurt-heinlein-blend/w/1487776?year=2023&price_id=38103667,La Espera Kurt Heinlein Blend,2023,Funckenhausen,4.1,based,16.97,73.804325%,60.092830000000006%,30.042195%,51.8001%,"{'oaky': 8, 'spices': 4, 'earthy': 2, 'dried fruit': 1, 'red fruit': 1, 'vegetal': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,,https://images.vivino.com/thumbs/PIFaP8wCSPqMzrteaVRtkA_pb_x600.png
https://www.vivino.com/la-espera-la-espera-kurt-heinlein-blend/w/1487776?year=2022&price_id=34453475,La Espera Kurt Heinlein Blend,2022,Funckenhausen,4.1,based,16.99,73.804325%,60.092830000000006%,30.042195%,51.8001%,"{'oaky': 8, 'spices': 4, 'earthy': 2, 'dried fruit': 1, 'red fruit': 1, 'vegetal': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,,https://images.vivino.com/thumbs/PIFaP8wCSPqMzrteaVRtkA_pb_x600.png
https://www.vivino.com/bodega-vistalba-tomero-single-vineyard-malbec/w/9396847?year=2022&price_id=35309986,Tomero Single Vineyard Malbec,2022,Bodega Vistalba,4.1,based,13.99,53.0979375%,41.608565000000006%,34.400312500000005%,45.28815%,"{'red fruit': 4, 'black fruit': 2, 'earthy': 2, 'oaky': 1, 'tropical': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,,https://images.vivino.com/thumbs/vddoWn_VQDSSacHgmL_J7Q_pb_x600.png
