wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/mascota-vineyards-unanime-merlot/w/9694950?year=2019&price_id=37389290,Unánime Merlot,2019,Mascota Vineyards,3.9,based,,63.8648625%,22.290019999999995%,13.010392500000002%,14.382534999999997%,"{'black fruit': 68, 'oaky': 36, 'earthy': 32, 'spices': 16, 'red fruit': 14, 'dried fruit': 3, 'ageing': 2, 'yeasty': 2, 'tree fruit': 2, 'vegetal': 1}","['beef', 'lamb', 'veal']",['Merlot'],"['Argentina', 'Mendoza']",Argentinian Merlot,https://images.vivino.com/thumbs/eL1D-rmlRVq55qS3ERrafA_150x200.jpg
https://www.vivino.com/escorihuela-gascon-escorihuela-1884-single-vineyard-malbec/w/9374362?year=2023&price_id=38341324,Escorihuela 1884 Single Vineyard Malbec,2023,Escorihuela Gascón,3.9,based,,52.2547175%,41.7371625%,24.663030000000006%,45.972989999999996%,"{'oaky': 11, 'black fruit': 10, 'earthy': 9, 'ageing': 1, 'spices': 1, 'vegetal': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/LWgeFpX5R2SZKpt22_WZSQ_pb_x600.png
https://www.vivino.com/ar-pascual-toso-reserva-malbec-barrancas-vineyards/w/1084100?year=2021&price_id=37229452,Reserva Malbec (Barrancas Vineyards),2021,Pascual Toso,3.9,612,,62.682370000000006%,28.4089325%,19.455549999999995%,37.19642%,"{'oaky': 315, 'black fruit': 252, 'earthy': 132, 'red fruit': 112, 'spices': 77, 'dried fruit': 18, 'yeasty': 15, 'floral': 14, 'ageing': 8, 'tree fruit': 5, 'vegetal': 4, 'citrus': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/7_bk4SmtS52Sp1tvwP2PGg_pb_x600.png
https://www.vivino.com/amalaya-blanco-torrontes-riesling/w/1177446?year=2021&price_id=37897910,Blanco (Torrontés - Riesling),2021,Amalaya,3.9,607,,43.938467499999994%,,12.1317375%,52.785275000000006%,"{'citrus': 419, 'tree fruit': 374, 'earthy': 214, 'floral': 127, 'tropical': 125, 'vegetal': 71, 'spices': 39, 'yeasty': 37, 'oaky': 36, 'ageing': 6, 'dried fruit': 3, 'red fruit': 2, 'black fruit': 1}","['pork', 'shellfish', 'vegetarian', 'mature and hard cheese', 'lean fish', 'mild and soft cheese']","['85%Torrontés', '15%Riesling']","['Argentina', 'Salta']",Argentinian White,https://images.vivino.com/thumbs/nndbeAECTj6p3pgaaVlfNw_pb_x600.png
https://www.vivino.com/toneles-tonel-78-barrel-select/w/3508352?year=2017&price_id=28032052,Tonel 78 Barrel Select,2017,Bodega Toneles,3.9,600,,53.9254175%,43.334585%,33.014362500000004%,47.905115%,"{'black fruit': 24, 'oaky': 14, 'earthy': 11, 'dried fruit': 5, 'red fruit': 4, 'yeasty': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Bonarda', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,https://images.vivino.com/thumbs/mOS7tCfGQpeGKn1w6dMH_w_pb_x600.png
https://www.vivino.com/callia-alta-pinot-grigio/w/1138123?year=2019&price_id=37502977,Alta Pinot Grigio,2019,Callia,3.9,497,,44.28808%,,13.793725000000002%,41.73907%,"{'tree fruit': 68, 'citrus': 40, 'tropical': 28, 'yeasty': 7, 'floral': 6, 'earthy': 6, 'spices': 3, 'vegetal': 2, 'ageing': 2}","['shellfish', 'vegetarian', 'lean fish', 'mushrooms', 'aperitif']",['100%Pinot Gris'],"['Argentina', 'San Juan', 'Tulum Valley']",Argentinian Pinot Gris,https://images.vivino.com/thumbs/fvkBmcmMRimELcjI3Jrssg_pb_x600.png
https://www.vivino.com/bodega-stella-crinita-barbera/w/7066210?year=2022&price_id=38059889,Barbera,2022,Bodega Stella Crinita,3.9,based,,,,,,"{'earthy': 9, 'black fruit': 3, 'oaky': 2, 'ageing': 2, 'red fruit': 2, 'tropical': 2}","['veal', 'pork', 'poultry', 'game (deer, venison)']",['Barbera'],"['Argentina', 'Mendoza']",Contains sulfites,https://images.vivino.com/thumbs/59YiaKt4QwGUDXnR3TNr4g_pb_x600.png
https://www.vivino.com/kaiken-ultra-cabernet-sauvignon/w/71464?year=2019&price_id=32361945,Ultra Cabernet Sauvignon,2019,Kaiken,3.9,483,,67.6855125%,57.937225%,12.822602499999999%,42.62927499999999%,"{'oaky': 543, 'black fruit': 479, 'earthy': 162, 'spices': 125, 'red fruit': 111, 'dried fruit': 24, 'yeasty': 22, 'vegetal': 18, 'ageing': 13, 'floral': 5, 'citrus': 1}","['beef', 'lamb', 'poultry']","['96%Cabernet Sauvignon', '4%Malbec']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/oRNh3AjnQjC5FkA5T4rjdA_pb_x600.png
https://www.vivino.com/bodega-calle-ca-de-calle-gran-reserva-red-blend/w/1652860?year=2017&price_id=23633374,Ca' de Calle Gran Reserva Red Blend,2017,Bodega Calle,3.9,based,,65.30278249999999%,37.393695%,29.980204999999998%,54.239737500000004%,"{'oaky': 29, 'black fruit': 26, 'spices': 9, 'earthy': 8, 'red fruit': 7, 'floral': 4, 'ageing': 3, 'yeasty': 2, 'dried fruit': 1, 'citrus': 1, 'vegetal': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Malbec', 'Petit Verdot', 'Bonarda', 'Shiraz/Syrah', 'Cabernet Sauvignon']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,https://images.vivino.com/thumbs/BWEc04vDRB6snV3Q9GKMxQ_150x200.jpg
https://www.vivino.com/mascota-vineyards-la-mascota-cabernet-franc/w/2694483?year=2022&price_id=37986163,La Mascota Cabernet Franc,2022,Mascota Vineyards,3.9,477,,50.68416%,48.397135%,18.06178%,62.91973999999999%,"{'black fruit': 363, 'oaky': 336, 'spices': 178, 'earthy': 156, 'red fruit': 108, 'vegetal': 49, 'yeasty': 13, 'floral': 13, 'dried fruit': 10, 'ageing': 7, 'tree fruit': 2, 'citrus': 2}","['beef', 'lamb', 'pork', 'vegetarian', 'poultry', ""goat's milk cheese""]",['Cabernet Franc'],"['Argentina', 'Mendoza']",Argentinian Mendoza Cabernet Franc Red,https://images.vivino.com/thumbs/PilmD6t5SqC1X3OX-l-BRw_pb_x600.png
