wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/casa-valduga-raizes-terroir-cabernet-franc-campanha/w/4242817?year=2012&price_id=34798690,Raízes Terroir Cabernet Franc,2012,Casa Valduga,3.7,355,34.17,63.9278575%,47.049455%,12.872277500000003%,40.69736999999999%,"{'oaky': 71, 'black fruit': 48, 'red fruit': 35, 'earthy': 28, 'spices': 22, 'floral': 5, 'vegetal': 5, 'yeasty': 2, 'dried fruit': 2}","['beef', 'pork', 'poultry', 'game (deer, venison)']",['Cabernet Franc'],"['Brazil', 'Rio Grande do Sul', 'Campanha']",Brazilian Cabernet Franc,https://images.vivino.com/thumbs/3O0B5T3cSu2YhRjP7FfQkw_pb_x600.png
https://www.vivino.com/casa-natal-reserva-malbec/w/4065356?year=2018&price_id=27836393,Reserva Malbec,2018,Casa Natal,3.7,345,18.89,65.231825%,26.60626%,10.2194525%,35.917007500000004%,"{'black fruit': 287, 'oaky': 186, 'red fruit': 112, 'earthy': 74, 'spices': 39, 'dried fruit': 11, 'yeasty': 8, 'vegetal': 4, 'citrus': 3, 'floral': 3, 'tree fruit': 2, 'ageing': 1}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/eu-plvJjTt27_dWAr-aXGw_pb_x600.png
https://www.vivino.com/ar-malacara-cabernet-sauvignon/w/6266428?year=2019&price_id=27681997,Cabernet Sauvignon,2019,Malacara,3.7,324,17.84,60.717045%,55.7073875%,17.15625%,41.531817499999995%,"{'black fruit': 4, 'spices': 2, 'red fruit': 1, 'vegetal': 1, 'yeasty': 1, 'oaky': 1}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Uco Valley', 'La Consulta']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/iYjQrikTTfal3VUqVhqoZQ_pb_x600.png
https://www.vivino.com/vina-las-perdices-cabernet-sauvignon/w/1158407?year=2021&price_id=33564971,Cabernet Sauvignon,2021,Viña Las Perdices,3.7,321,15.74,61.274550000000005%,51.00637%,22.590799999999994%,48.010125%,"{'oaky': 26, 'red fruit': 20, 'black fruit': 12, 'spices': 8, 'earthy': 7, 'tree fruit': 4, 'yeasty': 3, 'citrus': 2, 'dried fruit': 1, 'floral': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Agrelo']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/YWVs3f-jS-azulbZUyplmA_pb_x600.png
https://www.vivino.com/agua-de-piedra-gran-reserva-malbec/w/1150144?year=2023&price_id=38582469,Gran Reserva Malbec,2023,Agua de Piedra,3.7,based,16.47,66.1585375%,21.835367499999997%,12.341465000000003%,32.5061%,"{'red fruit': 3, 'oaky': 2, 'earthy': 2, 'black fruit': 1, 'yeasty': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/X3tOekWJRymtw_M0_GFAmQ_150x200.jpg
https://www.vivino.com/high-note-malbec/w/1250727?year=2019&price_id=29131008,Malbec,2019,High Note,3.7,312,20,65.54116499999999%,22.40092%,17.774275000000003%,35.716782499999994%,"{'black fruit': 218, 'oaky': 110, 'earthy': 102, 'red fruit': 64, 'spices': 51, 'yeasty': 14, 'floral': 8, 'vegetal': 6, 'dried fruit': 6, 'ageing': 4, 'tree fruit': 1, 'citrus': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/UbbgutcCQCmDjI0ZcWgfCw_pb_x600.png
https://www.vivino.com/bodega-vistalba-tomero-cabernet-sauvignon/w/84730?year=2012&price_id=21517089,Tomero Cabernet Sauvignon,2012,Bodega Vistalba,3.7,301,15.99,58.996984999999995%,50.148462499999994%,15.82958%,44.052375%,"{'black fruit': 19, 'oaky': 15, 'earthy': 14, 'spices': 9, 'red fruit': 7, 'yeasty': 3, 'vegetal': 3}","['beef', 'lamb', 'poultry']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/Gl8b2WL7SICWxqHDHvySmg_pb_x600.png
https://www.vivino.com/humberto-canale-estate-cabernet-sauvignon/w/1637476?year=2021&price_id=35208340,Estate Cabernet Sauvignon,2021,Humberto Canale,3.7,based,18.97,60.82661%,63.43548750000001%,8.442542500000002%,46.8498%,"{'earthy': 6, 'oaky': 6, 'red fruit': 2, 'black fruit': 2, 'yeasty': 2, 'spices': 1}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Patagonia', 'Rio Negro']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/0H3w4xYXQp-Psv9UAE6oaA_pb_x600.png
https://www.vivino.com/bodega-pielihueso-tinto-de-los-sauces/w/9662134?year=2023&price_id=35837007,Tinto de Los Sauces,2023,Bodega Pielihueso,3.7,based,24.36,64.827305%,43.459837500000006%,19.49498%,46.8343375%,"{'black fruit': 2, 'red fruit': 2, 'oaky': 2, 'citrus': 1, 'yeasty': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Malbec', 'Cabernet Sauvignon']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/pwCBs34sTz2QJazyNr841w_150x200.jpg
https://www.vivino.com/nomade-malbec/w/1236153?year=2021&price_id=34442455,Malbec,2021,Nōmade,3.7,based,20.99,61.6645925%,21.529167499999996%,13.147222500000002%,36.5138925%,"{'earthy': 7, 'oaky': 6, 'black fruit': 4, 'spices': 3, 'dried fruit': 2, 'red fruit': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/DQxGP-anRDaFeI3ZtpHM8g_pb_x600.png
