wine_link,name,year,winery,rating,rating_qty,price,body,tannis,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/bira-bin-otto/w/7619017?year=2021&price_id=34586404,Bin Otto,2021,Bira,4.3,118,67.52,,,,,"{'red fruit': 2, 'oaky': 2}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Shiraz/Syrah', 'Merlot', 'Sangiovese']","['Argentina', 'Mendoza', 'Uco Valley']",Contains sulfites,https://images.vivino.com/thumbs/36gUguj7T0C6TTfaZ5Gq6w_150x200.jpg
https://www.vivino.com/zuccardi-finca-canal-uco-paraje-altamira-red-wine/w/4011850?year=2020&price_id=36168762,Finca Canal Uco,2020,Zuccardi,4.3,116,89.94,65.68887%,41.9329225%,21.367949999999997%,41.8600975%,"{'black fruit': 50, 'oaky': 28, 'red fruit': 24, 'spices': 20, 'earthy': 15, 'floral': 7, 'yeasty': 3, 'ageing': 1, 'vegetal': 1, 'citrus': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/ZCvsdM59QYy_YxQoM4TVcA_pb_x600.png
https://www.vivino.com/zuccardi-fosil-san-pablo-chardonnay/w/5953265?year=2020&price_id=34640800,Fósil San Pablo Chardonnay,2020,Zuccardi,4.3,116,79.99,50.720025%,,13.308335%,52.712725%,"{'citrus': 79, 'earthy': 63, 'tree fruit': 57, 'oaky': 30, 'yeasty': 20, 'tropical': 14, 'vegetal': 13, 'spices': 12, 'ageing': 8, 'floral': 6}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['Chardonnay'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Chardonnay,https://images.vivino.com/thumbs/eU1NDvqrRCOkLkb55SuZyw_pb_x600.png
https://www.vivino.com/imperial-stag-reserva-iconic-red/w/10293507?year=2021&price_id=33869267,Reserva Iconic Red,2021,Imperial Stag,4.3,111,34.99,58.056610000000006%,39.620025%,38.04717%,53.01206%,"{'black fruit': 16, 'oaky': 10, 'spices': 8, 'earthy': 6, 'red fruit': 2, 'floral': 1, 'yeasty': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Shiraz/Syrah', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Malbec Red Blend,https://images.vivino.com/thumbs/zuVW9K2pRiSyMQRt8BvOzw_pb_x600.png
https://www.vivino.com/lamadrid-gran-reserva-single-vineyard-malbec/w/1497225?year=2018&price_id=38602280,Gran Reserva Single Vineyard Malbec,2018,Lamadrid,4.3,108,48.33,63.06202999999999%,28.130835000000005%,19.4966425%,36.624067499999995%,"{'oaky': 56, 'black fruit': 49, 'earthy': 26, 'spices': 10, 'red fruit': 10, 'ageing': 3, 'tree fruit': 1, 'floral': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Agrelo']",Argentinian Agrelo Malbec Red,https://images.vivino.com/thumbs/SUuT9X11SHywjlrDBf_3PA_pb_x600.png
https://www.vivino.com/vina-cobos-vinculum-chardonnay/w/9914051?year=2022&price_id=38625855,Vinculum Chardonnay,2022,Viña Cobos,4.3,105,49.99,42.874735%,,21.1629%,46.44221%,"{'oaky': 26, 'tree fruit': 14, 'earthy': 10, 'citrus': 10, 'yeasty': 3, 'spices': 3, 'vegetal': 2, 'ageing': 1, 'floral': 1}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza']",Argentinian Chardonnay,https://images.vivino.com/thumbs/aQ9imD_AQ9CXoZ9TqCJorw_pb_x600.png
https://www.vivino.com/vina-cobos-bramare-los-arbolitos-vineyard-chardonnay/w/4682277?year=2019&price_id=34869863,Bramare Los Arbolitos Vineyard Chardonnay,2019,Viña Cobos,4.3,104,54.99,57.4905%,,16.30815%,45.367382500000005%,"{'oaky': 155, 'tree fruit': 84, 'earthy': 47, 'citrus': 40, 'yeasty': 28, 'tropical': 20, 'vegetal': 12, 'floral': 6, 'ageing': 5, 'dried fruit': 1, 'black fruit': 1}","['pork', 'vegetarian', 'poultry', 'rich fish (salmon, tuna etc)']",['100%Chardonnay'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tunuyán']",Argentinian Chardonnay,https://images.vivino.com/thumbs/NtZLL0izQ7i1IgZ9CDI0Qw_pb_x600.png
https://www.vivino.com/trivento-eolo-malbec/w/1923327?year=2019&price_id=37168222,Eolo Malbec,2019,Trivento,4.3,100,94.47,68.22641250000001%,32.51382%,19.759255000000003%,35.375915%,"{'oaky': 231, 'black fruit': 179, 'earthy': 66, 'red fruit': 59, 'spices': 42, 'floral': 9, 'yeasty': 7, 'dried fruit': 7, 'ageing': 5, 'vegetal': 2, 'citrus': 2, 'tree fruit': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Lujan de Cuyo Malbec Red,https://images.vivino.com/thumbs/xPYuiUCVQe20hDiJUFs0pA_pb_x600.png
https://www.vivino.com/maal-bestial/w/1785342?year=2018&price_id=34640850,Bestial,2018,Maal,4.3,98,69.99,68.02763250000001%,37.9757225%,19.268285000000002%,43.064454999999995%,"{'oaky': 58, 'black fruit': 31, 'earthy': 21, 'spices': 13, 'red fruit': 9, 'ageing': 2, 'yeasty': 2, 'dried fruit': 1, 'floral': 1, 'citrus': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/DXNCA9YMS5S4ROc7yth6jA_pb_x600.png
https://www.vivino.com/piattelli-trinita-grand-reserve/w/1166201?year=2021&price_id=36971247,Trinita Grand Reserve,2021,Piattelli,4.3,96,28.95,78.76975999999999%,55.275225%,17.1588775%,53.6120875%,"{'oaky': 264, 'black fruit': 197, 'earthy': 92, 'red fruit': 57, 'spices': 32, 'dried fruit': 11, 'floral': 5, 'yeasty': 4, 'tree fruit': 3, 'ageing': 2, 'vegetal': 1, 'citrus': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Malbec', 'Merlot', 'Cabernet Sauvignon']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/cX3PcwEtQKeJ3T1dcNPDIg_pb_x600.png
https://www.vivino.com/terrazas-de-los-andes-gran-malbec/w/4637099?year=2021&price_id=38477240,Gran Malbec,2021,Terrazas de los Andes,4.3,based,49.67,67.0333325%,22.4093775%,6.734372499999997%,30.210417500000005%,"{'oaky': 14, 'black fruit': 8, 'earthy': 7, 'spices': 2, 'ageing': 1, 'dried fruit': 1}","['beef', 'lamb', 'pork']",['Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/kXQyJXwIRrmP9tGxjqHWwg_150x200.jpg
https://www.vivino.com/catena-zapata-nicasia-vineyard-altamira-malbec/w/68744?year=2021&price_id=37940613,Nicasia Vineyard Altamira Malbec,2021,Catena Zapata,4.3,93,106.67,67.59591499999999%,29.926800000000007%,21.9947375%,34.0994475%,"{'oaky': 314, 'black fruit': 297, 'earthy': 126, 'red fruit': 77, 'spices': 46, 'floral': 44, 'yeasty': 14, 'dried fruit': 14, 'ageing': 8, 'vegetal': 3, 'citrus': 3}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/P9umSXr8QFGJdj-Fw5t9Nw_pb_x600.png
https://www.vivino.com/lamadrid-gran-reserva-single-vineyard-malbec/w/1497225?year=2019&price_id=38602278,Gran Reserva Single Vineyard Malbec,2019,Lamadrid,4.3,89,43.75,63.06202999999999%,28.130835000000005%,19.4966425%,36.624067499999995%,"{'oaky': 56, 'black fruit': 49, 'earthy': 26, 'spices': 10, 'red fruit': 10, 'ageing': 3, 'tree fruit': 1, 'floral': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Agrelo']",Argentinian Agrelo Malbec Red,https://images.vivino.com/thumbs/SUuT9X11SHywjlrDBf_3PA_pb_x600.png
https://www.vivino.com/trapiche-iscay-malbec-cabernet-franc/w/1421944?year=2021&price_id=38200725,Iscay Malbec - Cabernet Franc,2021,Trapiche,4.3,88,119.99,80.70363250000001%,57.73535%,12.572614999999999%,59.85446499999999%,"{'oaky': 1026, 'black fruit': 988, 'earthy': 525, 'spices': 253, 'red fruit': 110, 'floral': 102, 'yeasty': 35, 'dried fruit': 32, 'vegetal': 27, 'ageing': 14, 'citrus': 9, 'tropical': 3, 'tree fruit': 3}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Franc', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/P8ucbDd4Q8iZviZHUirCOw_pb_x600.png
